fpr,tpr,threshold
0.36511627906976746,0.5760479041916168,0.5115558234140878
0.36511627906976746,0.5820359281437125,0.5103448389633342
0.3697674418604651,0.5820359281437125,0.5094438448308574
0.3697674418604651,0.5826347305389221,0.5093934920246747
0.37209302325581395,0.5826347305389221,0.5092108908313437
0.37209302325581395,0.5850299401197605,0.5082604309240986
0.3744186046511628,0.5850299401197605,0.5081277658519541
0.3744186046511628,0.5862275449101796,0.5079119078053053
0.3767441860465116,0.5862275449101796,0.5076716261690778
0.3767441860465116,0.588622754491018,0.507350486858117
0.37906976744186044,0.588622754491018,0.5070565369024888
0.37906976744186044,0.5898203592814372,0.506802959426136
0.3813953488372093,0.5898203592814372,0.5066198707187526
0.3813953488372093,0.5904191616766467,0.5065898286687525
0.38372093023255816,0.5904191616766467,0.5065227347183308
0.38372093023255816,0.592814371257485,0.5054712621084482
0.386046511627907,0.592814371257485,0.505383589739962
0.386046511627907,0.5946107784431137,0.5049116458295144
0.39069767441860465,0.5946107784431137,0.504656778804656
0.39069767441860465,0.5952095808383233,0.5040479581989741
0.3930232558139535,0.5952095808383233,0.5037000817843307
0.3930232558139535,0.5958083832335329,0.503559264949211
0.3953488372093023,0.5958083832335329,0.5034251756193148
0.3953488372093023,0.5982035928143713,0.5021349733757995
0.4,0.5982035928143713,0.5020146710235424
0.4,0.5988023952095808,0.501915236456498
0.40232558139534885,0.5988023952095808,0.5018927555146508
0.40232558139534885,0.6005988023952096,0.5014964680353222
0.4046511627906977,0.6005988023952096,0.5011926900771055
0.4046511627906977,0.6011976047904192,0.5010978382556602
0.4069767441860465,0.6011976047904192,0.5010960294683335
0.4069767441860465,0.6101796407185629,0.4975632052483067
0.40930232558139534,0.6101796407185629,0.49755763073051706
0.40930232558139534,0.611377245508982,0.49739283863323325
0.4116279069767442,0.611377245508982,0.4968506562647847
0.4116279069767442,0.61437125748503,0.4954132357301301
0.413953488372093,0.61437125748503,0.49540061393452467
0.413953488372093,0.6167664670658682,0.49480086513427274
0.41627906976744183,0.6167664670658682,0.49463389343104275
0.41627906976744183,0.6203592814371257,0.4936745815205536
0.4186046511627907,0.6203592814371257,0.49357359208687523
0.4186046511627907,0.6227544910179641,0.493010083168763
0.42093023255813955,0.6227544910179641,0.49300571345837624
0.42093023255813955,0.6233532934131737,0.49299776438919063
0.4232558139534884,0.6233532934131737,0.4929484326128098
0.4232558139534884,0.6239520958083832,0.49293723167333015
0.4255813953488372,0.6239520958083832,0.4928955805377992
0.4255813953488372,0.6263473053892216,0.4917593187067803
0.42790697674418604,0.6263473053892216,0.49171837540067004
0.42790697674418604,0.6287425149700598,0.49085202416770984
0.43023255813953487,0.6287425149700598,0.49078951958265415
0.43023255813953487,0.6293413173652694,0.49011235879316756
0.4325581395348837,0.6293413173652694,0.4899724165616372
0.4325581395348837,0.6335329341317365,0.48669045858662247
0.43488372093023253,0.6335329341317365,0.4866497486014902
0.43488372093023253,0.6389221556886228,0.4854486806564516
0.4372093023255814,0.6389221556886228,0.48544721642297534
0.4372093023255814,0.640119760479042,0.4851035249183755
0.4418604651162791,0.640119760479042,0.48421631509497315
0.4418604651162791,0.6407185628742516,0.48414318506403814
0.4441860465116279,0.6407185628742516,0.48354168330918373
0.4441860465116279,0.6437125748502994,0.48269664509105087
0.44651162790697674,0.6437125748502994,0.48262933251762113
0.44651162790697674,0.6502994011976048,0.4803414821651534
0.44883720930232557,0.6502994011976048,0.4802661093806757
0.44883720930232557,0.6508982035928144,0.47983836765741394
0.4511627906976744,0.6508982035928144,0.4798032266495897
0.4511627906976744,0.6532934131736527,0.4789109589002628
0.45348837209302323,0.6532934131736527,0.4788395713930579
0.45348837209302323,0.6550898203592814,0.478197559016299
0.45813953488372094,0.6550898203592814,0.47808841583425743
0.45813953488372094,0.655688622754491,0.47792168463937607
0.4627906976744186,0.655688622754491,0.4775263072689805
0.4627906976744186,0.6562874251497006,0.47731475194272066
0.46744186046511627,0.6562874251497006,0.4772229701110218
0.46744186046511627,0.6622754491017964,0.4761864098193046
0.4697674418604651,0.6622754491017964,0.47613976402474084
0.4697674418604651,0.662874251497006,0.4757943548850471
0.4720930232558139,0.662874251497006,0.47568509473860027
0.4720930232558139,0.6634730538922156,0.47553621902212473
0.47674418604651164,0.6634730538922156,0.47450892607809814
0.47674418604651164,0.6706586826347305,0.4720967804597826
0.48372093023255813,0.6706586826347305,0.47168505684731327
0.48372093023255813,0.6724550898203593,0.4712430128956208
0.48604651162790696,0.6724550898203593,0.47116150580161315
0.48604651162790696,0.6730538922155689,0.4711551001435186
0.4883720930232558,0.6730538922155689,0.4710196758325954
